Date,AAPL
2020-04-03,-0.014371481658763896
2020-04-06,0.08723762021536974
2020-04-07,-0.01158239637915226
2020-04-08,0.025594707171441078
2020-04-09,0.0072160086545585145
2020-04-13,0.01962768582129537
2020-04-14,0.05050326816644679
2020-04-15,-0.00912750177730981
2020-04-16,0.007946151030710613
2020-04-17,-0.013568897619583575
2020-04-20,-0.02075702839135596
2020-04-21,-0.030910280851219052
2020-04-22,0.028803741260246873
2020-04-23,-0.003875599311817801
2020-04-24,0.028869361321018916
2020-04-27,0.0007071149353565787
2020-04-28,-0.016209221457598955
2020-04-29,0.032845015589829885
2020-04-30,0.02109602588613768
2020-05-01,-0.016099609232263945
2020-05-04,0.014149165310115563
2020-05-05,0.015008898709805596
2020-05-06,0.010317129680230241
2020-05-07,0.01034495181160855
2020-05-08,0.023801910356851863
2020-05-11,0.015735143363556414
2020-05-12,-0.01142800476953254
2020-05-13,-0.012074110117971437
2020-05-14,0.006143029116439047
2020-05-15,-0.005911927509329007
2020-05-18,0.023561055442280265
2020-05-19,-0.005778198097622811
2020-05-20,0.01944808758226224
2020-05-21,-0.007455579813105961
2020-05-22,0.006438329357786099
2020-05-26,-0.00677317774214703
2020-05-27,0.004356679414908582
2020-05-28,0.0004403115085134246
2020-05-29,-0.0009740375071723983
2020-06-01,0.012297674560490579
2020-06-02,0.004629425342101978
2020-06-03,0.005505246725684199
2020-06-04,-0.00861199678320157
2020-06-05,0.028480692357563342
2020-06-08,0.005912709170968755
2020-06-09,0.03157799905150416
2020-06-10,0.02572733456062415
2020-06-11,-0.04801027771059441
2020-06-12,0.008633449902844204
2020-06-15,0.012366977337525231
2020-06-16,0.026502403454415457
2020-06-17,-0.001391594941853369
2020-06-18,0.00039802467269312025
2020-06-19,-0.005714359383758416
2020-06-22,0.026163554496164698
2020-06-23,0.02134487273084651
2020-06-24,-0.017652365769775247
2020-06-25,0.013275807196836631
2020-06-26,-0.030725785402675565
2020-06-29,0.0230466509194458
2020-06-30,0.008347571924834263
2020-07-01,-0.0018915575486940783
2020-07-02,0.0
2020-07-06,0.026750453180566458
2020-07-07,-0.0031029239486295435
2020-07-08,0.023290035901409212
2020-07-09,0.0043004477314192435
2020-07-10,0.0017490052137176804
2020-07-13,-0.004612946272081975
2020-07-14,0.016548342502487268
2020-07-15,0.006877378600142148
2020-07-16,-0.012305021263596783
2020-07-17,-0.0020201911453657795
2020-07-20,0.02107404474943997
2020-07-21,-0.01380195141387186
2020-07-22,0.0028092646161053114
2020-07-23,-0.045516311605352855
2020-07-24,-0.0024771933293588067
2020-07-27,0.023700028577806176
2020-07-28,-0.01642737513897896
2020-07-29,0.019168193566556635
2020-07-30,0.012100322007063014
2020-07-31,0.10468858416664717
2020-08-03,0.02519777187418648
2020-08-04,0.006677972951058653
2020-08-05,0.003624802047933473
2020-08-06,0.034889118762425175
2020-08-07,-0.022735814850647684
2020-08-10,0.01453500152587206
2020-08-11,-0.02973982800384689
2020-08-12,0.03323402801552344
2020-08-13,0.017697757542320947
2020-08-14,-0.0008911936159298195
2020-08-17,-0.0026110651579752675
2020-08-18,0.008332987639710243
2020-08-19,0.0012546805718993692
2020-08-20,0.022189681657104776
2020-08-21,0.051532428834374144
2020-08-24,0.011960303846941578
2020-08-25,-0.00820370570057305
2020-08-26,0.013598795096227079
2020-08-27,-0.01195421414495057
2020-08-28,-0.0016198805591891574
2020-08-31,0.03391225418855859
2020-09-01,0.03983235890832315
2020-09-02,-0.020718454496355343
2020-09-03,-0.08006077826536506
2020-09-04,0.0006618601357759601
2020-09-08,-0.06729493454153412
2020-09-09,0.039886626088286636
2020-09-10,-0.0326456871897729
2020-09-11,-0.013128925874830166
2020-09-14,0.02999986809235433
2020-09-15,0.0015604259573898105
2020-09-16,-0.029513619549050074
2020-09-17,-0.01596369680770915
2020-09-18,-0.031720258300725
2020-09-21,0.030325842666877767
2020-09-22,0.01571601563584757
2020-09-23,-0.04194615235723831
2020-09-24,0.01026879192663932
2020-09-25,0.03751607410065083
2020-09-28,0.023868869210405208
2020-09-29,-0.007567879940917566
2020-09-30,0.015075676972450047
2020-10-01,0.008462175414682749
2020-10-02,-0.03227998021253764
2020-10-05,0.030791062253162638
2020-10-06,-0.028669542522527403
2020-10-07,0.01696693384011083
2020-10-08,-0.0009557280621793618
2020-10-09,0.01739597659302028
2020-10-12,0.06352057656491716
2020-10-13,-0.026527415077629457
2020-10-14,0.0007431993013549132
2020-10-15,-0.003960872411263083
2020-10-16,-0.014000534217976424
2020-10-19,-0.02554168466956197
2020-10-20,0.013191732562090719
2020-10-21,-0.00544619475228636
2020-10-22,-0.009583569793681024
2020-10-23,-0.006133774784800594
2020-10-26,8.702635190727115e-05
2020-10-27,0.013472474129672118
2020-10-28,-0.04631244253681921
2020-10-29,0.0370504012235815
2020-10-30,-0.056017857461672205
2020-11-02,-0.0008269075052521613
2020-11-03,0.015353761377852715
2020-11-04,0.04083640668367683
2020-11-05,0.03549367091722866
2020-11-06,-0.001135869613655749
2020-11-09,-0.01996803654778856
2020-11-10,-0.003008969448196397
2020-11-11,0.030352595661572446
2020-11-12,-0.0023432623264185715
2020-11-13,0.0004193849144094042
2020-11-16,0.00872057552351646
2020-11-17,-0.007564585379169264
2020-11-18,-0.011391346926159729
2020-11-19,0.005168406561288252
2020-11-20,-0.010957585279241067
2020-11-23,-0.029742495648893308
2020-11-24,0.011593895324199854
2020-11-25,0.00746750747731606
2020-11-27,0.00482627564440663
2020-11-30,0.021099462154872572
2020-12-01,0.030827442378644765
2020-12-02,0.002933615725489558
2020-12-03,-0.0011374568768975912
2020-12-04,-0.0056126583603143265
2020-12-07,0.012269901250553383
2020-12-08,0.005091034492376689
2020-12-09,-0.02090362091692899
2020-12-10,0.011988723543548518
2020-12-11,-0.0067347855921597866
2020-12-14,-0.005146572239463576
2020-12-15,0.05009027825956891
2020-12-16,-0.00054738113431263
2020-12-17,0.006963459438252384
