ticker,nation,currency,current_usd,current_local,beta,p5,p25,median,mean,p75,p95,median_ret_%
AAPL,usa,USD,255.9199981689453,255.9199981689453,1.0,107.16791088242653,207.29783363012805,316.38911026578404,325.422145811479,415.1022487284397,588.9729723473464,23.628130872726928
AMD,usa,USD,217.5,217.5,1.0,91.07932472530085,176.1772395168139,268.8911846481811,276.5681354345423,352.78500994218615,500.55338544110845,23.628130872726928
CVX,usa,USD,198.97000122070312,198.97000122070312,1.0,83.31978552539736,161.16774970906008,245.98289350659724,253.0058034253723,322.72935107513814,457.9085412057215,23.628130872726928
GLD,usa,USD,429.4100036621094,429.4100036621094,1.0,179.81780764981096,347.8265244418178,530.871561307974,546.0281565506647,696.5030455687884,988.2419819556212,23.628130872726928
IWM,usa,USD,251.2899932861328,251.2899932861328,1.0,105.22907079874189,203.54748200160725,310.66512176984696,319.5347351563421,407.5923805968747,578.317502836079,23.628130872726928
JPM,usa,USD,294.6000061035156,294.6000061035156,1.0,123.36537756311591,238.62903833082257,364.2084810967158,374.60677879105333,477.84122336642235,677.9909443957974,23.628130872726928
MSFT,usa,USD,373.4599914550781,373.4599914550781,1.0,156.38843141905812,302.5064384576026,461.7016069933588,474.88337239600486,605.7521232114414,859.4789105730887,23.628130872726928
NVDA,usa,USD,177.38999938964844,177.38999938964844,1.0,74.28304072381935,143.68772602463247,219.30394060056406,225.5651557514008,287.72658711871964,408.2444355764813,23.628130872726928
QQQ,usa,USD,584.97998046875,584.97998046875,1.0,244.96359355822267,473.83980750153603,723.1998158331587,743.8474596081709,948.8375550604499,1346.269929374282,23.628130872726928
SHY,usa,USD,82.36000061035156,82.36000061035156,1.0,34.488704551568674,66.71244852475792,101.82012934134413,104.72713472732275,133.58792475476474,189.54288335835966,23.628130872726928
SPY,usa,USD,655.8300170898438,655.8300170898438,1.0,274.63243720057693,531.2290666811657,810.7903918304594,833.9387815565154,1063.756317698504,1509.3238405895231,23.628130872726928
TLT,usa,USD,86.79000091552734,86.79000091552734,1.0,36.343791615147005,70.30079438602004,107.29685591628905,110.36022403480284,140.7733854522605,199.73806335955913,23.628130872726928
TSM,usa,USD,339.0400085449219,339.0400085449219,1.0,141.9748737155481,274.62589789058086,419.14882547482057,431.1156919585303,549.9229093577892,780.2649382857148,23.628130872726928
XOM,usa,USD,160.69000244140625,160.69000244140625,1.0,67.28982488492058,130.16055654288294,198.6580465176498,204.32981314111163,260.63919130529393,369.8111481774063,23.628130872726928
000270.KS,kor,KRW,100.82493419863657,151800.0,1.0,42.22099734383775,81.66923485783998,124.64798160343122,128.20673129483833,163.5380478790173,232.03798689657253,23.628130872726928
000660.KS,kor,KRW,586.4849597983932,883000.0,1.0,245.59381195394423,475.0588562547609,725.0603936484175,745.761157663651,951.2786316019256,1349.7334810913935,23.628130872726928
003550.KS,kor,KRW,58.84775474307773,88600.0,1.0,24.642821901607537,47.667287275392766,72.7523792494335,74.8294887531138,95.45106088327361,135.43192120577288,23.628130872726928
005380.KS,kor,KRW,312.1720624068458,470000.00000000006,1.0,130.72377306721833,252.86258486946502,385.9324858604261,396.95101257295136,506.34309949366366,718.4311847258834,23.628130872726928
005930.KS,kor,KRW,127.99054558680676,192700.0,1.0,53.59674695755951,103.67365979648065,158.23231920277468,162.74991515491004,207.60067079240207,294.55678573761213,23.628130872726928
006400.KS,kor,KRW,301.87702630619447,454500.0,1.0,126.4126699128739,244.52349962376988,373.2049251565184,383.8600749242689,489.64455046780876,694.738241399817,23.628130872726928
034730.KS,kor,KRW,207.22911376794866,312000.0,1.0,86.7783344616428,167.85771591334696,256.1934799754317,263.50790621864,336.12563200430435,476.9160204988842,23.628130872726928
035420.KS,kor,KRW,130.6141193027792,196650.0,1.0,54.695382922698904,105.7987815203836,161.47579434989953,166.0859928137678,211.85610747963608,300.59466484328715,23.628130872726928
035720.KS,kor,KRW,29.689555722523416,44700.0,1.0,12.432665225754594,24.04884583758529,36.70464280417244,37.75257502555515,48.15646073907823,68.32739139839784,23.628130872726928
051910.KS,kor,KRW,211.54638697144762,318500.0,1.0,88.5862164295937,171.35475166154174,261.5308441415866,268.9976542648617,343.12824933772737,486.8517709259444,23.628130872726928
068270.KS,kor,KRW,130.11597239468315,195900.0,1.0,54.48678115716611,105.3952773955919,160.85994463842013,165.4525603468961,211.0481131719334,299.44823210170324,23.628130872726928
069500.KS,kor,KRW,54.337864735115005,81810.0,1.0,22.7542805843173,44.01422993227858,67.17688652817331,69.09481348636841,88.13601908420557,125.05288345196705,23.628130872726928
102110.KS,kor,KRW,54.334543755727694,81805.0,1.0,22.752889905880416,44.011539904779966,67.1727808634301,69.09059060325592,88.13063245548756,125.04524056702316,23.628130872726928
207940.KS,kor,KRW,1040.1307441045117,1566000.0,1.0,435.5604864324764,842.5166125650685,1285.894197568994,1322.606990828174,1687.0921144831432,2393.751564427092,23.628130872726928
229200.KS,kor,KRW,11.889106206558594,17900.0,1.0,4.97862880404938,9.630298445028561,14.698279780641759,15.117921542671978,19.28413081050336,27.361528099134706,23.628130872726928
